Alpine function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
15,2260.43,309,8,47.24,387.51,4,30
16,1371.32,297,7,54.59,891.80,6,30
17,1364.76,247,0,46.89,865.82,6,30
18,2041.15,144,2,46.45,829.14,0,30
19,2980.86,10,7,22.22,869.21,2,30
20,3653.50,389,5,40.01,930.82,6,30
Quintic function Generational GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,4215.47,17,8,85.82,26934.73,4,10
2,2901.94,117,3,102.85,34345.00,7,10
3,2554.50,38,4,100.87,18456.87,7,10
4,1583.53,382,4,123.34,70577.57,1,10
5,2294.42,286,4,102.93,119563.98,6,10
6,1597.28,35,8,166.35,70490.06,7,10
7,2520.93,319,5,36.01,35428.00,7,10
8,2908.84,94,3,143.41,44897.53,0,10
9,4313.95,230,6,34.77,72131.78,3,10
10,4306.46,312,4,55.94,22677.08,0,10
11,4339.15,345,0,249.95,43735.90,6,10
12,2892.01,399,5,235.33,4924.93,2,10
13,2816.33,314,3,25.02,23812.89,3,10
14,2879.91,24,7,48.70,85422.43,0,10
15,4281.56,162,7,250.21,39993.47,3,10
16,4346.18,499,6,51.21,51.21,6,10
17,4305.53,366,2,25.07,24863.07,6,10
18,4317.96,472,3,190.48,11306.17,5,10
19,4308.68,49,5,24.90,49343.17,9,10
20,4310.55,352,0,41.07,104117.75,8,10
1,4262.63,414,6,59.33,125336.46,4,30
2,2906.39,187,5,177.78,6328.32,3,30
3,4296.43,249,3,14.18,32950.88,2,30
4,2878.30,156,3,126.56,45293.00,7,30
5,2883.92,228,0,91.09,7475.13,6,30
6,4299.09,64,8,164.06,46607.33,5,30
7,2889.62,20,5,55.99,34058.26,6,30
8,4307.74,370,1,80.40,22497.01,1,30
9,2876.39,97,6,49.04,110375.16,9,30
10,2855.38,313,2,33.53,41375.46,2,30
11,4327.46,77,7,49.67,3139.77,7,30
12,2875.92,183,8,11.20,36362.48,3,30
13,2919.70,3,5,77.55,8024.31,6,30
14,4329.16,54,4,18.65,28991.67,7,30
